gameId,game,boxart,naRelDate2,euRelDate2,loosePrice,licensed,wikipediaUrl
70,Batman: Return of the Joker,,1991-12-01,1992-11-19,2700,1,/wiki/Batman:_Return_of_the_Joker
71,Battle Chess,,1990-07-01,,356,1,/wiki/Battle_Chess
72,Battle Kid 2: Mountain of Torment,,,,0,0,/w/index.php?title=Battle_Kid_2:_Mountain_of_Torment&amp;action=edit&amp;redlink=1
73,Battle Kid: Fortress of Peril,,,,0,0,/wiki/Battle_Kid:_Fortress_of_Peril
74,Battle Tank,,1990-09-01,,400,1,/wiki/Battle_Tank_(video_game)
75,Battleship,,1993-09-01,,600,1,/wiki/Battleship_(1993_video_game)
76,Battletoads,,1991-06-01,1993-02-18,1135,1,/wiki/Battletoads
77,Battletoads &amp; Double Dragon,,1993-06-01,,4698,1,/wiki/Battletoads_%26_Double_Dragon
78,Beauty and the Beast,,,1994-01-01,6000,1,/wiki/Beauty_and_the_Beast_video_games
79,Bee 52,,,,1001,0,/wiki/Bee_52
80,Beetlejuice,,1991-05-01,,900,1,/wiki/Beetlejuice_(video_game)
81,Best of the Best: Championship Karate,,1992-12-01,,1375,1,/wiki/Best_of_the_Best:_Championship_Karate
82,Bible Adventures,,,,795,0,/wiki/Bible_Adventures
83,Bible Buffet,,,,4200,0,/wiki/Bible_Buffet
84,Big Nose Freaks Out,,,,3499,0,/wiki/Big_Nose_Freaks_Out
85,Big Nose the Caveman,,,,997,0,/wiki/Big_Nose_the_Caveman
86,Bigfoot,,1990-08-01,1991-01-24,324,1,/wiki/BigFoot_(video_game)
87,Bill &amp; Ted's Excellent Video Game Adventure,,1991-04-01,,0,1,/wiki/Bill_%26_Ted%27s_Excellent_Video_Game_Adventure
88,Bill Elliott's NASCAR Challenge,,1991-12-01,,461,1,/wiki/Bill_Elliott%27s_NASCAR_Challenge
89,Bionic Commando,,1988-12-01,1990-10-26,650,1,/wiki/Bionic_Commando_(Nintendo_Entertainment_System)
90,Blackjack,,,,1999,0,/wiki/Blackjack_(video_game)
91,Blades of Steel,,1988-12-01,1990-11-23,498,1,/wiki/Blades_of_Steel
92,Blaster Master,,1988-11-01,1991-04-25,550,1,/wiki/Blaster_Master
93,Bo Jackson Baseball,,1991-10-01,,494,1,/wiki/Bo_Jackson_Baseball
94,Bomberman,,1987-01-01,,1460,1,/wiki/Bomberman_(video_game)
95,Bomberman II,,1992-03-01,,6400,1,/wiki/Bomberman_II
96,Bonk's Adventure,,1994-01-01,,29950,1,/wiki/Bonk%27s_Adventure
